SL_No,Name,Latitude,Longitude
1,8B more,22°29'45.6"N,88°22'14.6"E
2,Baghajatin crossing,22°29'01.9"N,88°22'31.7"E
3,Bansdroni,22°28'30.2"N,88°21'36.2"E
4,Chingrighata More,22°33'27.3"N,88°24'43.2"E
5,Dhalai Bridge,22°27'57.7"N,88°23'34.8"E
6,Dhapa,22°32'52.8"N,88°24'01.6"E
7,Garia More,22°27'56.6"N,88°22'40.7"E
8,Howrah Station,22°34'35.1"N,88°20'52.7"E
9,Jadavpur Thana Crossing,22°30'10.6"N,88°22'03.7"E
10,Kalighat Temple,22°30'16.3"N,88°20'11.6"E
11,Kamalgazi Bypass,22°26'58.0"N,88°23'27.0"E
12,Kamalgazi More,22°26'50.5"N,88°23'30.9"E
13,Kolkata Police HQ,22°34'42.4"N,88°21'50.8"E
14,Lords more,22°30'07.0"N,88°21'28.3"E
15,Malancha,22°29'12.8"N,88°21'03.5"E
16,Mukundopur More,22°29'32.3"N,88°23'48.8"E
17,Netaji Nagar more,22°28'45.7"N,88°21'19.0"E
18,Patuli More,22°28'18.6"N,88°23'22.8"E
19,Ranikuthi,22°28'59.0"N,88°21'11.8"E
20,Ruby,22°30'46.9"N,88°24'07.3"E
21,Science City,22°32'57.1"N,88°24'42.8"E
22,Science City More,22°32'33.2"N,88°23'54.8"E
23,Sector V,22°34'45.9"N,88°25'34.7"E
24,Sulekha Crossing,22°29'29.0"N,88°22'20.6"E
25,Tollygunge More,22°29'34.5"N,88°20'43.0"E
26,Tollygunge Tram Depot,22°29'34.5"N,88°20'42.6"E
27,Victoria Memorial,22°32'49.2"N,88°20'43.3"E
28,prince anwar shah,22°30'04.8"N,88°20'43.4"E
